维护日期,收录日期,事件编号,标题,状态,发布日期,发布标题,经验提取
,260601,1,23岁女孩离世男友持欠条索30万,published,260601,23岁女孩离世男友持欠条索30万,已提取
,260601,2,上海政法学院偷拍事件嫌疑人沈某,published,260601,上海政法学院致远阁女厕偷拍：研二在读生沈某被行政拘留,已提取
,260601,3,炽灯燃《宇宙探索编辑部》剧本署名争议,published,260601,炽灯燃《宇宙探索编辑部》剧本署名争议,已提取
,260601,4,西安地铁大爷偷拍女乘客遭掌掴,published,260601,西安地铁大爷偷拍女乘客遭掌掴,已提取
,260601,5,小棉袄成恋童癖暗语儿童性剥削群组曝光,published,260601,小棉袄成恋童癖暗语儿童性剥削群组曝光,已提取
,260601,6,小学保安猥亵多名学生获刑5年4个月,published,260601,小学保安猥亵多名学生获刑5年4个月,已提取
,260531,1,南昌15岁男生公共场所从背后撞击女性,published,260601,南昌15岁男生公共场所从背后撞击女性,已提取
,260531,2,广西南宁施暴男友行拘期满5天杀害前女友,published,260601,广西南宁施暴男友行拘期满5天杀害前女友,已提取
,260531,3,天津伯苓高中男生偷拍女同学私密视频后校内传播,published,260601,天津伯苓高中男生偷拍女同学私密视频后校内传播,已提取
,260531,4,男子趁妻孕期走私购买迷药被北京四中院判刑8个月,abort,,,
,260531,5,重庆城口男子10天内3次杀害女友未遂被判4年,published,260601,重庆城口男子10天内3次杀害女友未遂被判4年,已提取
,260531,6,黄子佼持有逾2000部未成年人性影像免于服刑,published,260601,黄子佼持有逾2000部未成年人性影像免于服刑,已提取
,260529,1,武汉大学女教师开设女性主义课程遭贴吧举报煽风点火事件,abort,,,
,260529,2,"湖北黄石""先生孩子再领证""彩礼纠纷二审案",abort,,,
,260529,3,中国籍NUS博士生新加坡企图强奸室友被判刑案,published,260531,中国籍NUS博士生新加坡企图强奸室友被判刑案,已提取
,260529,4,山西订婚强奸案犯母亲直播带货事件,published,260531,山西订婚强奸案：席某平出狱后，其母抖音账号营利权限被暂停,已提取
,260528,1,,abort,,,
,260526,1,,published,260531,苗苗家暴致死案开庭,已提取
,260525,1,,published,,,已提取
,260524,1,反偷拍博主揭露偷拍黑产,review-v1,,,
,260524,2,婚后拒同房男方欲追回72万婚姻支出,published,260531,福建宁德：婚后一年半未同房，男方索要72万离婚赔偿,已提取
,260522,1,,published,260531,成都网红店女厕偷拍视频被打包售卖，受害者遭网暴,已提取
,260522,2,,published,260531,"女子生活照被AI篡改成不雅图，报警遭遇""无能为力""",已提取
,260522,3,长沙男子偷拍淫秽视频发境外平台牟利案,published,260531,长沙男子偷拍视频发境外平台牟利案,已提取
,260521,1,上海网约车司机偷拍女乘客并群发事件,published,260531,上海：网约车司机偷拍女乘客并发至司机群,已提取
,260515,,,无事件,,,
,260514,1,福州采耳店老板在女员工宿舍装摄像头被拘案,published,260531,福州采耳店老板在女员工宿舍装摄像头被拘,已提取
,260513,1,华南理工大学男生偷拍女同学裙底事件,published,260531,华南理工大学男生偷拍女同学裙底事件,已提取
,260513,2,新乡学院男生隔窗盗取女生衣物事件,published,260531,新乡学院男生隔窗盗取女生衣物事件,已提取
,260513,3,男子168元兜售AI一键脱衣教程获刑案,published,260531,男子168元兜售AI一键脱衣教程获刑案,已提取
,260512,1,南京审计大学研究生顾某某偷拍被开除,published,260531,南京审计大学研究生顾某某偷拍被开除,已提取
,260511,1,陌生男子从背后踢倒女子案,published,260531,上海：陌生男子尾随女子入小区从背后踢倒，仅受行政拘留,已提取
,260510,,,无事件,,,
,260509,1,小棉袄内容投稿,abort,,,
,260509,2,王鹤棣沈月暴力纠纷,abort,,,
,260509,3,成都地铁偷拍女生案,abort,,,
,260509,4,孔大山与女编剧署名纠纷,abort,,,
,260509,5,集体强奸案与失忆问题,abort,,,
,260509,6,中国男留学生德国迷奸案,abort,,,
,260509,7,浙江男子购药迷奸被不起诉,abort,,,
,260509,8,杀妻骗保案,abort,,,
,260509,9,男子街头殴打女孩案,abort,,,
,260509,10,公职人员侮辱女子「慰安妇」,abort,,,
,260509,11,女记者曝光代孕窝点,abort,,,
,260509,12,男老师校园性骚扰事件,abort,,,
,260509,13,华人中介胡晓东强奸案,abort,,,
,260508,1,未成年人被性化内容,abort,,,
,260508,2,女教师打伞事件,abort,,,
,260508,3,王鹤棣沈月暴力事件,abort,,,
,260508,4,女性创作者遭网暴歧视,abort,,,
,260508,5,地铁偷拍女生案,abort,,,
,260508,6,姜萍被利用事件,abort,,,
,260508,7,女性被迷奸案件,abort,,,
,260508,8,德国迷奸案推动立法,abort,,,
,260508,9,男子购药迷奸被不起诉,abort,,,
,260508,10,杀妻骗保案,abort,,,
,260508,11,家暴和防卫司法案,abort,,,
,260508,12,直播主玩弄粉丝事件,abort,,,
,260508,13,女性工作场景就业歧视,abort,,,
,260508,14,公职人员辱骂女子案,abort,,,
,260508,15,女记者曝代孕窝点,abort,,,
,260508,16,被霸凌女性童年经历,abort,,,
,260508,17,网络煽动性别对立,abort,,,
,260508,18,男老师性骚扰学生,abort,,,
,260508,19,华人中介大规模性侵,abort,,,
,260508,20,中国男性海外性侵犯,abort,,,
,260507,1,抖音小棉袄内容性化未成年人,abort,,,
,260507,2,王鹤棣暴力对待女演员沈月,abort,,,
,260507,3,成都地铁男子偷拍女性裙底,abort,,,
,260507,4,数学女生姜萍被工具化利用,abort,,,
,260507,5,QQ群集体性侵案受害者失忆,abort,,,
,260507,6,中国男留学生德国迷奸案,abort,,,
,260507,7,男子购麻醉药欲迷奸被不起诉,abort,,,
,260507,8,丈夫长期策划杀害妻子骗保,abort,,,
,260507,9,男子街头无故殴打未成年女孩,abort,,,
,260507,10,女店员被指责做装卸工作遭网暴,abort,,,
,260507,11,"官员私信辱骂女子""慰安妇""",abort,,,
,260507,12,同人圈女性创作者遭网暴,abort,,,
,260507,13,女记者曝光代孕窝点被诬陷,published,260529,杭州临平非法代孕窝点曝光：女记者遭暴力拖拽腓骨骨折，患者花10万两次移植失败身体受损,已提取
,260507,14,小女孩被亲戚集体取侮辱外号,abort,,,
,260507,15,用户借煤矿事故煽动性别对立,abort,,,
,260507,16,澳大利亚华人多起性侵案,abort,,,
,260507,17,男老师在班级中性骚扰女学生,abort,,,
,260507,18,父母对女儿儿子双重标准,abort,,,
,260507,91,,abort,,,
,260506,1,女性遭造黄谣,abort,,,
,260506,2,订婚强奸案,abort,,,
,260506,3,已婚男骗女性,abort,,,
,260506,4,隔空猥亵女性,abort,,,
,260506,5,女乘客遭骚扰,abort,,,
,260506,6,家务补偿性别差,abort,,,
,260505,1,未成年被性化内容问题,abort,,,
,260505,2,女教师打伞事件舆论风波,abort,,,
,260505,3,王鹤棣对沈月暴力事件,abort,,,
,260505,4,女性创作者遭不公平待遇,abort,,,
,260505,5,成都地铁偷拍女生案,abort,,,
,260505,6,姜萍被数学老师利用,abort,,,
,260505,7,高检曝露女性被迷药性侵案,abort,,,
,260505,8,中国男留学生德国迷奸案,abort,,,
,260505,9,男子购药欲迷奸未遂案,abort,,,
,260505,10,杀妻骗保案,abort,,,
,260505,11,街头暴力和家暴干预困境,abort,,,
,260505,12,"公职人员辱骂女性为""慰安妇""案",published,260529,"公职人员辱骂女性为""慰安妇""案",已提取
,260505,13,女记者曝光代孕窝点被诬陷,abort,,,
,260505,14,女孩被亲戚集体辱骂,abort,,,
,260505,15,男老师课堂性骚扰学生,abort,,,
,260505,16,华人中介迷奸案重判,abort,,,
,260504,1,浏阳拐卖妇女案,abort,,,
,260504,2,极目新闻伦理问题,abort,,,
,260504,3,B站曝光女性生活照,abort,,,
,260504,4,未成年结婚争议,abort,,,
,260504,5,AI篡改女学生照,published,260529,女学生生活照遭AI篡改为色情图片，警方仅按肖像权纠纷调解,已提取
,260504,6,退分娩费案争议,published,260529,安徽宿松：未婚同居女子剖宫产后半月被男友起诉退彩礼、分摊分娩费，一审判决返还50%彩礼并失去抚养权,已提取
,260504,7,副校长厌女言论,published,260529,福建三明：初中部副校长拔河赛现场以性暴力威胁言论羞辱女学生,已提取
,260503,1,德国性侵群组案,published,260516,德国Telegram群组大规模迷奸案,已提取
,260503,2,国内迷药性侵案,abort,,,
,260503,3,民宿偷拍案,published,260529,合肥民宿针孔摄像头直播案：女大学生入住遭偷拍，举报博主随即遭人肉骚扰,已提取
,260503,4,生殖月经研究,abort,,,
,260502,1,德连环强奸案,abort,,,
,260502,2,霸王茶姬投毒案,published,260516,安徽砀山：男子疑似在女友奶茶中投毒,已提取
,260501,1,霸王茶姬投毒,abort,,,
,260501,2,家庭性侵案,abort,,,
,260501,3,女性安全事件,abort,,,
,260501,4,德连环强奸案,abort,,,
,260501,5,残疾母亲创业,abort,,,
,260428,1,14岁少年杀害女同学不适用死刑,review-v1,,,
,260427,1,虐猫者被举报后人肉开盒举报者并造谣卖淫,review-v1,,,
,260427,2,深圳公交站台吸烟男子被罚款,review-v1,,,
,260424,1,3男子深夜骚扰女摩托车车主被拘留,review-v1,,,
,260424,2,男子杀妻后装行李箱抛尸被判无期,review-v1,,,
,260423,1,保安辱骂女子后故意关车门夹女子腿,abort,,,
,260423,2,4男子下过量合成毒品致15岁女童死亡,review-v1,,,
,260421,1,女子虐死男友3岁儿子被判死缓,abort,,,
,260418,1,女子产后被男友起诉退彩礼和分娩费,review-v1,,,
,260417,1,醉酒男10分钟搭讪女子3次被扇飞眼镜,review-v1,,,
,260416,1,54岁班主任猥亵女学生被开除,review-v1,,,
,260416,2,肺癌成中国女性第一大癌症,review-v1,,,
,260326,1,霞浦民警性侵未成年,abort,,,
,260326,2,梅姨案买家责任,abort,,,
,260326,3,成都地铁偷拍事件,abort,,,
,260326,4,铁路卧铺卫生巾争议,abort,,,
,260326,5,迪士尼卫生巾价格,abort,,,
,260326,6,晋江作品下架争议,abort,,,
,260326,7,河南母亲被嫁案,published,260509,"河南鲁山：亡母被伪造身份嫁舅舅，揭起遗产争议",已提取
,260326,8,举报男艺人田栩宁,abort,,,
,260326,9,厌女言论讨论,abort,,,
,260326,10,金融圈性骚扰事件,published,260529,信达证券研究所所长出差途中猥亵女下属，被保安制住后遭刑拘,已提取
,260325,1,兰州铁路女性旅客生理期事件引发争议,abort,,,
,260325,2,珠海三甲医院伪造女大学生脑脊液检测报告案,abort,,,
,260325,3,福建宁德警察强制猥亵未成年女孩案量刑争议,published,,,已提取
,260323,,,无事件,,,
,260322,,,无事件,,,
,260321,1,,published,260325,女子月经弄脏火车卧铺被索赔180元，铁路通报与当事人证据相互矛盾,已提取
